AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1709,512,4437,931,10106,7984,2918,1284,31650,5796,647,839,14826,6106,1968,1226,2528,2798,1629,3934,5162,14541,7141,1125,4256,787,968,2311,1109,8072,1254,8296,9260,813,6644,1222,3815,16645,1104,3402,443,4090,18069,1775,428,5478,6212,2287,3056,342
1933,417,2937,884,8154,6231,1497,645,24588,4811,519,695,8235,5730,1372,777,2587,2337,1169,3187,3854,14980,4903,879,1963,646,664,1698,975,3038,1285,6771,6945,587,7408,883,3669,10436,852,3029,329,3389,14710,1612,239,3189,6789,2009,2514,441
5829,336,2443,884,5918,4777,829,602,17845,3683,383,680,7091,4239,1040,823,2165,2645,1182,2030,3330,9978,5083,1560,1772,488,430,1394,739,1956,838,6369,5083,384,3918,707,2701,9441,416,3215,190,2847,10945,1626,307,2561,5765,1639,2123,405
1711,181,2381,799,5218,4521,930,389,12911,3395,246,853,6708,3264,703,816,1827,1774,729,1820,1732,4661,2400,769,2228,389,402,1192,388,2307,738,3840,4893,347,4201,898,1932,6626,348,1707,157,2375,8524,1213,188,1700,4932,1144,1623,287
1210,149,2672,690,7474,2238,595,224,10176,2761,245,640,3729,1882,500,556,948,1803,505,967,885,2074,1233,652,2039,402,220,1243,216,1324,398,2392,2561,164,2873,488,1533,4531,160,1066,132,1483,9651,1004,89,1083,3150,706,918,419
1507,165,2521,1004,5014,2097,406,222,9330,1622,287,622,2720,2198,396,770,1301,1685,326,651,734,2251,1170,511,2703,418,180,1562,124,1338,381,1865,2598,226,1995,639,1242,2934,125,895,55,1082,7054,1257,49,973,3654,699,663,340
976,117,2569,1502,4229,1892,251,160,10597,1843,322,414,1661,1806,515,706,981,1610,195,493,429,1117,660,734,3195,373,175,968,171,1380,461,1019,2005,171,1751,783,1542,2038,128,677,57,1330,7140,1350,32,834,3066,499,481,295
972,147,2699,1407,4518,1459,191,100,8498,1507,271,379,1156,1272,349,554,802,1456,148,368,383,898,490,651,3093,305,178,1438,119,1123,485,727,2224,72,1094,895,1374,1154,107,558,77,899,7331,1480,24,718,2639,305,374,365
1013,187,2956,1926,6699,1545,323,110,9803,1893,204,400,1327,1292,350,905,798,1586,140,325,257,938,424,1107,5280,224,258,2498,110,1152,351,767,1711,80,1142,1154,874,1091,65,741,66,1304,12116,1927,26,1052,1971,293,418,359
1642,266,3032,2561,8106,1818,253,109,11682,1913,317,481,2045,1898,482,898,1259,3741,104,284,444,699,627,1243,4818,212,464,1751,103,851,345,869,2663,50,1444,1626,907,817,118,987,63,1906,24219,1934,23,1227,1779,189,372,334
2780,409,3560,5163,19291,1900,446,191,19463,4189,461,662,3622,2096,537,1401,1715,5473,117,500,845,1067,661,1944,9854,285,396,3176,126,1743,556,1634,4244,136,1795,2747,1212,1243,168,1821,93,3038,74298,3163,34,1487,3565,323,914,360
5456,907,6791,6598,28452,2997,830,241,32820,6398,653,883,3714,3378,1174,2645,3297,8854,337,775,2062,1338,1286,4305,11911,407,705,4689,152,2633,908,2218,6326,135,3145,4532,2041,2145,351,3005,135,5529,22266,3577,53,2481,3608,469,1589,475
8308,1112,6531,7903,44627,4350,1415,391,47778,11443,1260,1439,7394,4732,1410,3693,5517,21844,343,1679,2845,3228,1887,5956,15318,773,1265,4701,282,3971,1422,4139,12413,239,3696,7432,2738,3774,580,5738,183,7402,47451,3942,111,3882,6148,961,3364,490
15461,1519,11816,10977,63326,4892,2812,608,92739,20957,1793,2222,10874,7063,2856,3039,7376,21302,538,2501,4619,4989,3254,7927,16648,997,1765,5465,707,5910,1947,7224,17347,346,5935,10193,5351,7049,781,9434,277,12163,66878,4525,226,6018,11616,1199,4772,819
21283,1709,14081,12940,74868,4740,2826,1190,106794,29680,2902,2872,13001,10139,2935,7593,14688,24598,971,3578,6132,6951,4022,12388,12879,1451,2265,5826,912,6705,3119,8058,23428,530,12347,9117,6136,8860,1138,13616,727,19843,69126,4917,386,10680,15678,2461,5450,1268
15927,2312,16232,11252,72853,7925,3071,1755,109282,34742,4114,4417,15440,14189,5028,4472,20941,25241,697,5393,7549,9344,6711,21466,12541,1990,2492,4478,1073,8827,4417,11648,28508,911,16177,9809,10308,12590,1559,19133,808,22664,78350,6293,608,11583,18507,3652,6628,1947
14642,2805,16479,12963,57595,7581,2596,1739,131037,44397,4234,2928,21535,18403,6081,7987,20071,24831,1127,5744,7334,9522,6277,14587,10913,2332,2986,6189,1560,9175,5043,10957,34618,1236,17110,10040,10846,14361,1642,22127,1854,29588,75730,5460,703,16719,15233,5505,10087,2534
23766,2478,20132,12067,85055,8428,3264,2266,129937,56810,4139,4353,23875,25888,7272,6588,26931,14013,1575,6634,9773,13401,7825,13010,11392,2832,4699,4823,1412,11654,3546,15161,36323,1546,23320,13762,13719,18935,1326,31423,2343,38802,92484,6448,553,18378,21125,7777,8754,2439
22582,2794,13056,7706,46969,10173,2625,1970,85962,37566,3271,4954,22199,19380,5297,6000,27081,11331,2147,4899,7094,12968,8883,10119,9894,2692,3592,5363,1812,10258,3427,13054,32058,1778,34794,13500,11566,20989,1393,21513,2350,42534,89386,7991,811,16019,16284,8861,10184,2165
18886,4391,12699,10290,47902,11936,2481,2582,79737,38712,3367,5553,16864,23244,8699,7383,19811,11768,2503,6498,9599,19575,9461,10485,10881,4919,4042,6053,2147,13272,3380,16736,35506,2476,35149,10183,11124,19980,1830,29321,2932,41879,64929,8060,726,18924,18132,11402,12215,2928
18041,5218,12209,6192,35209,8157,3494,2523,53996,23260,2895,6553,14859,18396,8860,5972,21814,8079,2611,7517,10961,14706,12540,8062,10960,3974,4032,5479,1701,10361,3603,15930,29780,2444,40018,11485,7871,25446,1728,17097,1933,27326,51276,8657,1029,17066,12879,11012,20094,2965
13328,6967,11291,5627,42609,8795,2684,2018,48328,18958,2164,7638,11835,16199,8004,5374,15275,4824,3678,5962,6974,17933,10190,7045,9192,4932,3172,3509,3097,9061,3920,17448,23771,2505,29876,8814,9590,28661,1711,16490,1808,17873,56785,8116,862,14063,17956,7558,15003,2887
7227,4334,15297,3150,29530,10301,2110,2479,27059,14613,1534,6899,13049,13527,8720,4341,13638,4860,3316,6561,6474,21465,17701,3353,6487,3996,3537,3677,1943,8111,4398,20133,18687,2717,28312,6718,8638,23906,1194,11759,1634,11094,43513,7380,960,12385,13240,6605,13758,2412
3909,4572,13539,3190,26345,12548,1781,1747,21305,10897,985,6684,14268,9633,5747,5097,9467,3507,2409,4764,6546,23065,12106,3325,4940,4310,3030,3872,2439,8884,4367,20872,15092,2842,23664,5493,7319,22794,1536,7162,1532,10319,29272,7776,1097,10056,11996,6319,14077,1936
4395,4689,10240,2599,32727,12825,3123,1881,15285,7215,642,6313,11843,8098,5240,3346,6325,3064,2208,4792,6902,24720,14099,2210,6049,4070,3271,2795,2658,6347,3799,18838,13975,2769,19224,4483,5232,20526,1083,5685,1822,6511,21819,6232,1433,10226,11807,4564,11406,2371
7675,4009,13225,2760,29946,12017,1920,1250,12700,5623,660,4908,12953,6899,4762,4730,5005,3027,1699,4677,6290,20316,13809,2797,6216,4230,3630,2898,1481,7133,4115,16846,8193,2191,16889,4045,4985,23365,1181,4823,1469,7198,20436,6792,977,7615,13057,4053,10601,2390
4218,2592,13138,2033,27404,15340,1863,1337,10671,5586,506,4001,9805,8856,5487,3861,5158,2035,3318,3711,7829,25199,19915,1407,4406,3525,3469,3219,3788,7952,5613,16639,8636,3075,20929,3595,4416,21604,1209,4663,1683,5649,19556,7634,1286,8137,10942,4782,13715,1942
2543,2470,17727,2690,27010,19154,2214,1241,9960,5089,587,2646,16431,9829,4954,5869,6964,2296,2996,3909,7115,21666,17037,1705,6038,2596,4083,4075,3326,8114,7311,22232,8269,2476,25615,3081,5003,24948,1778,3648,1821,6865,20843,8936,1276,6485,8633,4103,14589,2058
2549,1827,17630,2856,24991,20813,2869,1970,7912,5966,618,2482,20180,13721,6712,6935,8329,2024,2963,4023,10569,38035,20457,1674,6936,2934,4982,2885,4787,7947,6373,20576,8008,2555,27861,4269,4313,26978,1944,3278,2087,7295,18516,10036,1592,8051,10486,4856,16932,1380
2610,2064,22036,2943,24469,14678,4160,2163,6871,5748,467,2820,24439,20240,7743,5052,9118,2363,3941,5220,17132,52947,20106,2047,9607,1812,5683,2509,5635,9441,7032,24459,8332,2525,24280,4422,4426,35476,2607,4320,2069,6840,14799,6712,1970,8827,7239,4859,22965,1213
1720,1047,15163,3087,23312,14250,4763,1971,7532,5165,361,1547,22169,16553,6683,7299,9947,2474,2244,5004,16628,29149,15540,1371,10190,1224,5129,2215,5927,11603,6537,23091,9544,2681,29710,3205,3557,25672,3215,3323,2320,7920,15086,6588,1627,8141,6918,3227,13933,866
2471,1013,20859,3456,41696,14026,6875,3138,7356,5902,642,1968,39743,24618,9122,7728,14617,2328,3733,6672,23182,50580,26385,2605,12474,1372,6241,2708,8036,16838,7404,33300,17630,2567,36203,6093,4111,46831,4104,4865,2290,8770,23062,7088,2895,12526,8856,5619,20193,1046
3807,1057,14728,3036,38531,7425,13805,3558,12513,8159,1035,1637,47363,27050,9244,9050,12766,2960,4835,6972,26328,28827,18623,2202,16263,797,3632,3135,6896,22710,6569,31459,16959,1840,39856,5479,4450,40229,6010,5006,1543,7980,23384,5650,2549,12083,7696,5310,25667,697
