AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
22786,1367,29930,10715,260519,14719,11406,2781,53379,32786,802,5197,30865,29846,9586,12776,15691,13648,2562,13079,22837,22022,13068,11600,18780,2560,6627,11830,3668,30483,6377,40969,38572,1241,36650,15875,6752,53846,3724,16979,2966,40738,118682,10715,581,18859,13330,6760,16399,1833
13554,1151,24241,9618,195575,8539,11318,3792,66777,37273,538,4813,24306,22585,6487,9179,12671,11407,2611,9558,21340,16934,9566,8343,14397,1856,3970,11089,3748,27648,5093,35872,31789,1575,37049,14345,4284,35740,3890,16111,2318,27311,77080,10515,404,18954,9788,6397,14083,1278
24370,1437,50107,14522,175884,13272,12268,3794,69636,51824,920,5318,27270,22495,7606,9025,21230,18807,2165,14184,23768,14457,11641,13161,21280,2188,4814,9497,5025,27453,6816,55167,48607,1065,32133,19779,5927,35791,5310,18108,1808,38161,112689,17017,637,29304,12442,7834,17490,1475
16824,1634,57430,14557,188371,13626,14751,3523,85166,46654,1076,4443,33184,25793,9064,9732,20719,18846,3847,15873,30931,19494,9541,13033,17126,3046,4616,13008,3273,36558,7287,61600,34706,831,46743,20988,5819,42589,4830,26597,2178,24304,96656,14178,928,28045,13146,6037,13959,1529
13199,1205,41567,8951,177878,10755,11789,3181,87243,46356,654,3617,24887,20147,5235,9402,17089,12672,2595,11283,22904,12103,7989,10209,14338,2153,3399,8726,3359,27368,4443,44352,33338,815,36008,13044,4922,36829,3596,29187,1152,17107,85480,10614,1023,26740,10125,4530,9225,1053
15772,926,30955,10132,134238,7619,8176,2736,56825,42571,585,2185,26448,14044,4665,6290,12709,12289,2231,11534,18706,9433,5005,7415,11199,1710,2793,6155,2845,23407,3299,40582,30767,813,26046,16786,3741,26107,3719,19795,1400,18677,73811,9731,829,24483,7463,5090,8901,1096
14129,701,21262,8169,79673,5614,7201,2192,46244,30091,471,2586,19673,8653,4021,4471,12176,11725,1774,9012,15891,7959,4573,7059,7249,1539,2887,4896,2445,24168,3653,25791,34758,654,25206,13559,2922,24198,2488,20515,773,13433,86168,7176,678,17711,7891,4172,7997,677
8205,636,15370,7966,75375,6217,7575,1996,38807,20767,378,1690,14308,8815,2935,4655,7849,5331,1287,8074,15507,8172,5371,4471,7926,1437,1753,4544,1656,21909,2713,21702,18665,213,14883,8916,3156,22759,1877,14703,567,12513,64119,4912,740,14867,5248,2680,5061,497
6224,508,8826,2855,44910,4445,3815,1817,31260,19496,263,1108,8434,5931,2732,2930,6236,5049,720,4257,8606,5174,4806,4242,5155,958,1580,2279,2160,19460,2179,17779,14722,577,14398,5665,2443,14189,1539,16837,966,6146,39926,4644,545,11099,3466,1650,4673,546
4660,648,8433,2034,36025,5765,4786,1436,37199,17983,299,1367,8540,4779,2297,3219,6578,3777,852,3367,10711,5174,4867,1578,4531,807,2056,1957,1397,15019,1740,15629,13290,446,10810,3295,2483,14710,1361,10554,858,6783,28504,4525,576,10699,4239,1747,3079,424
4819,648,6334,4855,21816,6205,3574,1236,25395,13947,227,1546,7551,3499,3100,2005,4531,3195,672,4675,7839,7460,3411,2450,2717,842,1596,2147,1530,15432,1390,14635,8158,399,8432,2949,1439,14987,1826,9432,628,6087,39623,2870,498,8751,4765,1378,3592,313
3166,586,6354,1671,19315,5309,4627,1248,24406,9898,280,1636,9614,5064,2559,1500,3722,2853,765,4460,7844,7853,5163,1975,2706,549,1802,1532,1110,19199,1211,13962,8414,438,7727,3788,1757,15104,1895,7243,963,6242,25487,2875,563,6910,3259,1523,3423,387
6850,746,4566,1805,17643,4878,5221,1106,23879,7003,404,1463,7868,4613,1843,962,3573,2841,911,4098,9387,14823,5482,2382,3131,972,1455,2008,1691,21357,975,14456,8425,493,8846,2564,1478,15439,1747,6001,900,6828,20748,2786,705,5939,3834,1509,2593,308
2800,697,2873,968,15365,6833,5821,1192,22029,7954,512,1259,10011,4647,2889,1217,3221,2767,1146,5674,11396,16577,7526,1502,3490,718,1615,1256,1312,18704,893,20235,9746,499,6826,1975,1526,19059,1653,6609,1118,6879,19373,2445,744,7336,4363,1807,3621,346
1987,1049,3179,1008,16542,5250,7328,1395,28227,7072,556,1438,12806,5010,3031,874,2388,1614,1379,5952,9750,33655,9664,1031,2985,572,2112,1346,2229,26276,1171,18275,8395,814,10217,1463,2057,19004,2216,6058,1069,6482,17629,2175,915,6470,5539,2152,2975,315
1812,747,3149,859,16520,6951,6287,1555,23744,5735,601,1607,17229,4711,3380,1012,2257,1765,1761,6002,12996,31748,11299,1144,2654,838,1973,1481,1887,20637,927,19564,8968,856,11245,1360,2259,23431,1993,4311,1042,5469,16564,2007,1152,6488,4617,1909,3870,275
2277,951,3660,835,17190,7489,4805,1512,31025,8817,400,1178,20250,5314,2037,1146,3024,2379,2614,7855,9472,49506,11546,1143,3298,690,1802,2564,2069,19494,1158,19461,11773,886,11318,1796,2551,26904,2053,4476,1257,5722,20553,1684,902,8590,7534,1692,4839,312
3120,774,3799,869,14057,9894,6181,1767,32224,8288,425,1077,15312,6633,2596,1089,3141,3130,1869,5200,9310,36733,9422,1279,3954,771,1644,1826,2151,17684,1165,14784,11633,873,8219,1468,3470,25506,1920,5323,778,6529,15548,2092,574,7905,8296,1640,4992,348
2329,930,4201,895,10621,7518,3713,1380,32008,7422,437,1237,13473,5403,1894,1234,2910,1819,1393,5751,6065,24844,7296,1082,3389,849,1346,2010,1427,6927,1227,9799,7465,693,8984,1371,5172,15530,1480,3832,720,5523,15739,1731,470,6654,7827,1596,3208,335
