vaccines_available
9987170
6020730
10909420
14177080
17230230
17923420
11937790
7703290
8583820
8019010
4664380
7126480
9019890
7090420
10987730
12365700
10880840
8168930
5564040
5436250
3214880
2523380
3141500
3018320
2014910
4124705
4410990
7081040
9183620
12555760
14243260
18807160
22894140
26429760
25652030
28547610
26547870
22131150
19770815
20943830
17895400
21970765
4864300
9897775
8498675
9572125
7340300
8541600
5832675
4791675
6268325
2644200
