AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
15001,1173,5222,2811,21921,4196,1388,417,23333,8453,1758,2138,5223,3079,1036,4219,6261,6926,635,1812,1885,2117,3112,6477,4725,991,596,3091,726,2695,2305,5913,13759,743,12204,5812,2204,4777,808,6317,629,11565,27910,2556,343,3823,3338,1473,5056,1015
5152,1470,7294,4222,28263,2168,1273,616,46819,17560,1632,2091,4017,6934,3465,3696,3448,1991,348,2282,3742,2545,2989,5502,4652,959,1377,1812,423,3784,1516,7407,13151,869,6045,4227,1325,4422,650,14195,350,12028,46051,1536,295,7535,6485,1643,2652,1092
6853,496,6207,1279,22929,2286,1569,688,19695,6548,798,3165,11192,6197,2666,3421,11429,4529,696,1874,4286,2198,3788,2731,5562,721,1544,1957,888,1801,1275,6141,13013,968,15275,5281,2458,10642,608,4117,391,10488,32777,3661,369,6483,5479,1922,3024,875
2615,1040,4735,2923,23424,4998,1446,738,22146,11754,454,1881,8069,5043,3303,2281,4012,2131,654,909,1317,7901,2788,2766,2564,2459,872,1627,965,5642,665,8235,9274,793,6517,1628,3676,8434,519,8003,951,4734,20245,1416,496,7213,8130,1511,2665,671
2896,1469,6685,1192,9454,4289,824,1007,6566,6194,268,1030,7009,2676,2808,1545,3920,2832,439,2544,4440,6567,6273,922,2679,1068,1488,2285,666,3815,744,6440,7473,1612,11766,2271,1487,4875,344,3505,996,6556,19644,1260,480,6523,2455,3433,5355,411
2251,1410,2694,1962,16253,4430,661,714,11339,5231,207,2346,6780,4220,1140,2195,2606,1050,582,1631,3146,7379,3409,1913,3711,2259,733,1132,1271,4024,533,2734,5874,1615,10031,2231,1309,10101,633,3204,814,7073,8358,2553,220,6320,4979,2703,7067,676
2340,1605,2340,1425,13450,3040,989,1034,4775,7116,163,1279,2623,5614,2420,869,2862,1395,344,2735,3388,7753,7745,967,3229,1851,1240,682,1400,2627,763,2417,5523,989,10922,3185,1034,10699,284,3984,809,3668,13341,1875,349,5332,3742,1653,4649,1035
1103,841,4678,1386,4899,2664,519,483,4698,3468,269,2532,3067,4408,1667,2173,2586,490,959,1180,3042,3399,2536,1225,1223,2203,737,1157,1184,2159,900,3690,1726,655,8081,2765,2960,10102,550,2431,395,3859,9406,2283,220,3126,3690,2560,4091,646
4970,616,3879,350,14221,7224,433,695,2934,3348,320,2545,1526,4389,2221,1120,2681,685,963,722,2840,7220,2045,583,719,1341,854,1124,345,1673,1963,2177,4829,1209,7250,1557,2899,4305,167,1001,752,893,7746,4503,541,2626,1765,2176,4116,371
620,1542,5651,1089,15664,5718,639,397,2586,1672,252,1561,5704,2691,2156,1572,1981,917,686,1262,1183,6916,6508,591,2760,1372,1656,1084,1549,1098,1202,4385,2754,395,3464,806,2841,5381,391,881,665,1276,3783,2612,145,927,2174,597,2093,491
1315,921,6030,623,16521,5374,320,495,1543,1301,198,1503,5421,4430,3273,951,1554,641,878,1124,4219,9927,6704,407,3211,1636,2163,455,1365,1058,1576,2970,3234,1092,3975,845,1553,6660,281,1063,878,948,2952,2325,790,2787,3764,1081,5620,236
1046,1092,6985,1621,11609,3281,1690,269,2782,993,71,727,4688,4472,2522,885,1321,739,755,1883,4437,20814,9094,497,2999,655,1183,1464,1462,4085,3383,11437,4804,760,6777,1616,1156,10508,880,1449,563,1288,5505,1672,923,2060,1797,586,7043,567
662,285,6320,705,10644,5757,1102,428,4513,1778,206,467,7959,2457,2603,3219,2501,297,483,1441,2976,6345,9763,638,2206,1064,886,1583,1358,5463,2746,13055,5445,579,15415,1224,1217,8986,927,740,750,2435,7242,3615,595,2080,1565,914,3052,308
380,669,5532,792,8805,2354,1449,797,2466,1461,239,885,8925,6148,2679,1394,2782,312,719,1785,3365,18574,9239,635,3580,691,829,1127,945,5931,1461,13166,5929,453,9320,2087,1155,14382,1230,897,529,1519,7382,1815,552,2681,2600,1813,9067,247
1321,497,7796,2180,7951,2147,3804,946,4033,3436,86,1131,12175,8344,3690,4694,1728,748,1648,3094,10307,8257,6182,682,6464,308,1217,1712,919,11194,3220,17816,4092,299,17144,3285,1954,7805,1985,2404,970,4317,12626,2813,420,4093,1246,1606,5767,142
979,162,7671,1895,5339,4679,4769,834,1756,2723,530,743,6159,3754,2621,2103,2609,669,2502,4251,7492,17063,4553,707,3279,329,2359,1225,1804,9473,1042,18208,5681,565,15175,2210,616,17636,1253,2293,819,4133,8464,1945,425,6021,1706,1761,5837,114
